TimeNumber,TempOutside,QuantMilk,Car,SizeBagBig,SizeBagSmall,TempRise
0.026921296,25,20,1,1,0,0.57
0.027789352,25,20,1,1,0,0.7
0.027881944,25,20,1,1,0,0.7
0.029375,25,20,1,1,0,0.7
0.03087963,25,20,1,1,0,0.7
0.031273148,25,20,1,1,0,0.86
0.031377315,25,20,1,1,0,0.86
0.03287037,25,20,1,1,0,0.86
0.034375,25,20,1,1,0,0.86
0.034756944,25,20,1,1,0,1.07
0.034837963,25,20,1,1,0,1.07
0.036331019,25,20,1,1,0,1.07
0.037847222,25,20,1,1,0,1.07
0.038240741,25,20,1,1,0,1.22
0.038333333,25,20,1,1,0,1.22
0.039837963,25,20,1,1,0,1.22
0.041377315,25,20,1,1,0,1.22
0.041712963,25,20,1,1,0,1.36
0.042881944,25,20,1,1,0,1.36
0.04443287,25,20,1,1,0,1.36
0.045196759,25,20,1,1,0,1.44
0.045266204,25,20,1,1,0,1.44
0.047326389,25,20,1,1,0,1.44
0.048680556,25,20,1,1,0,1.53
0.048773148,25,20,1,1,0,1.53
0.050277778,25,20,1,1,0,1.53
0.051793981,25,20,1,1,0,1.53
0.052164352,25,20,1,1,0,1.65
0.052256944,25,20,1,1,0,1.65
0.05375,25,20,1,1,0,1.65
0.05525463,25,20,1,1,0,1.65
0.055648148,25,20,1,1,0,1.76
0.055856481,25,20,1,1,0,1.76
0.05912037,25,20,1,1,0,1.86
0.059189815,25,20,1,1,0,1.86
0.060752315,25,20,1,1,0,1.86
0.062280093,25,20,1,1,0,1.86
0.062604167,25,20,1,1,0,1.94
0.062696759,25,20,1,1,0,1.94
0.064201389,25,20,1,1,0,1.94
0.065798611,25,20,1,1,0,1.95
0.068344907,25,20,1,1,0,1.95
0.068877315,25,20,1,1,0,1.97
0.070393519,25,20,1,1,0,1.97
0.071967593,25,20,1,1,0,1.97
0.072349537,25,20,1,1,0,2.08
0.073483796,25,20,1,1,0,2.08
0.075034722,25,20,1,1,0,2.08
0.075833333,25,20,1,1,0,2.1
0.075949074,25,20,1,1,0,2.1
0.077465278,25,20,1,1,0,2.1
0.079039352,25,20,1,1,0,2.1
0.079305556,25,20,1,1,0,2.12
0.08056713,25,20,1,1,0,2.12
0.082118056,25,20,1,1,0,2.12
0.082789352,25,20,1,1,0,2.12
0.082905093,25,20,1,1,0,2.12
0.084456019,25,20,1,1,0,2.12
0.085983796,25,20,1,1,0,2.12
0.086273148,25,20,1,1,0,2.13
0.086365741,25,20,1,1,0,2.13
0.087916667,25,20,1,1,0,2.13
0.089444444,25,20,1,1,0,2.13
0.089756944,25,20,1,1,0,2.15
